node,kind
ulm-n26-1,cisco
ulm-n25-1,cisco
tro-mh-1,cisco
stu-eti-1,cisco
rot-hs-1,cisco
stu-eti-a99,cisco
reu-hs-1,cisco
rav-dhbw-1,cisco
tut-hs-1,cisco
pfo-hs-1,cisco
ofg-hs-1,cisco
nue-hs-1,cisco
wei-hs-1,cisco
mos-dhbw-2,cisco
sig-hs-1,cisco
loe-dhbw-1,cisco
mar-dla-1,cisco
lbg-ph-1,cisco
keh-hs-1,cisco
frb-rz-1,cisco
fra-tc-a99,cisco
hdl-rz-1,cisco
tue-wae-1,cisco
man-schl-1,cisco
kar-bib-1,cisco
hor-dhbw-1,cisco
kar-rz-1,cisco
man-rz-1,cisco
fuw-hs-1,cisco
ess-hs-1,cisco
kon-bib-1,cisco
boe-1,cisco
stu-al30-1,cisco
fds-stw-1,cisco
frb-rz-2,cisco
fdh-dhbw-1,cisco
shl-hs-2,cisco
fra-decix-a99,cisco
alb-hs-1,cisco
frb-kg-1,cisco
vis-hs-1,cisco
sgd-ph-1,cisco
lbg-fa-1,cisco
aal-hs-1,cisco
goe-hs-1,cisco
bib-hs-1,cisco
hdh-dhbw-1,cisco
kar-rz-a99,cisco
hdl-city-1,cisco
tue-mor-1,cisco
hlb-hs-1,cisco
gei-hs-1,cisco
kon-rz-1,cisco
kar-nord-1,cisco
kue-hs-1,cisco
